roll_number,repo,public,readme_exists,commit_count
711725UAD136,https://github.com/gharshavarhinia-ship-it/miniProjectSourceCode,True,True,8
711725UAD202,https://github.com/Mrudul-P-Manesh/miniProjectSourceCode,True,True,12
711725UAM123,https://github.com/dharaneesh-sys/miniProjectSourceCode,True,True,7
711725UAM251,https://github.com/SARATHI-78/miniProjectSourceCode_251,True,True,4
711725UEC163,https://github.com/mutharasu-kannan/miniProjectSourceCode,True,True,7
711725UCS149,https://github.com/kavyaparthiban-ship-it/cminiproject,True,True,1
711725UCS247,https://github.com/Tarunika-Muruganathan/711725UCS247_CSE-B_C-Mini-project,True,True,21
711725UIT142,https://github.com/kalaivani-venkatesan/Kalaivani-TPS,True,True,5
711725UIT219,https://github.com/Ragavendhar25/miniProjectSourceCode,True,True,5
711725UIT222,https://github.com/ravirajv25it/miniProjectSourceCode,True,True,6
711725UEC233,https://github.com/sanjaykumars25ec-design/Sanjaysspointer,True,False,2
